date,close_price,high_price,low_price,open_price,volume
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2025-06-25,6092.16015625,6108.509765625,6080.08984375,6104.22998046875,5171110000
2025-06-26,6141.02001953125,6146.52001953125,6107.27001953125,6112.08984375,5308140000
2025-06-27,6173.06982421875,6187.68017578125,6132.35009765625,6150.7001953125,7889350000
2025-06-30,6204.9501953125,6215.080078125,6174.97021484375,6193.35986328125,5782900000
2025-07-01,6198.009765625,6210.77978515625,6177.97021484375,6187.25,6275310000
2025-07-02,6227.419921875,6227.60009765625,6188.2900390625,6193.8798828125,5645710000
2025-07-03,6279.35009765625,6284.64990234375,6246.4599609375,6246.4599609375,3378110000
2025-07-07,6229.97998046875,6262.06982421875,6201.0,6259.0400390625,5236740000
2025-07-08,6225.52001953125,6242.7001953125,6217.75,6234.02978515625,5739030000
2025-07-09,6263.259765625,6269.16015625,6231.43017578125,6243.330078125,4813340000
2025-07-10,6280.4599609375,6290.22021484375,6251.43994140625,6266.7998046875,5367350000
2025-07-11,6259.75,6269.43994140625,6237.60009765625,6255.68017578125,4656210000
2025-07-14,6268.56005859375,6273.31005859375,6239.22021484375,6255.14990234375,4722250000
2025-07-15,6243.759765625,6302.0400390625,6241.68017578125,6295.2900390625,5133670000
2025-07-16,6263.7001953125,6268.1201171875,6201.58984375,6254.5,5177460000
2025-07-17,6297.35986328125,6304.68994140625,6262.27001953125,6263.39990234375,5512290000
2025-07-18,6296.7900390625,6315.60986328125,6285.27001953125,6312.9501953125,5184700000
2025-07-21,6305.60009765625,6336.080078125,6303.7900390625,6304.740234375,5010840000
2025-07-22,6309.6201171875,6316.1201171875,6281.7099609375,6306.60009765625,5662040000
2025-07-23,6358.91015625,6360.64013671875,6317.490234375,6326.89990234375,5642510000
2025-07-24,6363.35009765625,6381.31005859375,6360.56982421875,6368.60009765625,5282720000
2025-07-25,6388.64013671875,6395.81982421875,6368.52978515625,6370.009765625,4470720000
2025-07-28,6389.77001953125,6401.06982421875,6375.7900390625,6397.68994140625,4565620000
2025-07-29,6370.85986328125,6409.259765625,6363.919921875,6405.6201171875,5076120000
2025-07-30,6362.89990234375,6396.5400390625,6336.3798828125,6381.22998046875,5375070000
2025-07-31,6339.39013671875,6427.02001953125,6327.64013671875,6427.02001953125,6077080000
2025-08-01,6238.009765625,6287.27978515625,6212.68994140625,6287.27978515625,5827150000
2025-08-04,6329.93994140625,6330.68994140625,6271.7099609375,6271.7099609375,4842580000
2025-08-05,6299.18994140625,6346.0,6289.3701171875,6336.6298828125,5517410000
2025-08-06,6345.06005859375,6352.830078125,6301.10986328125,6309.2998046875,5408560000
2025-08-07,6340.0,6389.7099609375,6310.31982421875,6374.31982421875,5306090000
2025-08-08,6389.4501953125,6395.16015625,6355.22021484375,6355.22021484375,4769910000
2025-08-11,6373.4501953125,6407.25,6364.06005859375,6389.669921875,4652400000
2025-08-12,6445.759765625,6446.5498046875,6385.759765625,6395.169921875,5135300000
2025-08-13,6466.580078125,6480.27978515625,6445.02001953125,6462.669921875,5195950000
2025-08-14,6468.5400390625,6473.919921875,6441.06982421875,6453.4599609375,4462050000
2025-08-15,6449.7998046875,6481.33984375,6441.85009765625,6477.3798828125,4575060000
2025-08-18,6449.14990234375,6455.35009765625,6437.7001953125,6445.02001953125,4162290000
2025-08-19,6411.3701171875,6456.47998046875,6400.22021484375,6446.240234375,4377440000
2025-08-20,6395.77978515625,6408.39990234375,6343.85986328125,6406.6201171875,4470390000
2025-08-21,6370.169921875,6393.64990234375,6352.7099609375,6380.830078125,4013560000
2025-08-22,6466.91015625,6478.89013671875,6384.58984375,6384.58984375,5046860000
2025-08-25,6439.31982421875,6466.89013671875,6438.06005859375,6457.669921875,4059070000
2025-08-26,6465.93994140625,6468.3701171875,6429.2099609375,6435.490234375,4867680000
2025-08-27,6481.39990234375,6487.06005859375,6457.83984375,6462.259765625,4143680000
2025-08-28,6501.85986328125,6508.22998046875,6466.9599609375,6483.83984375,4283760000
2025-08-29,6460.259765625,6491.759765625,6444.56982421875,6489.27978515625,4234840000
2025-09-02,6415.5400390625,6416.5400390625,6360.580078125,6401.509765625,4784000000
2025-09-03,6448.259765625,6453.669921875,6416.169921875,6445.81982421875,4465360000
2025-09-04,6502.080078125,6502.5400390625,6445.97998046875,6456.60009765625,4670770000
2025-09-05,6481.5,6532.64990234375,6443.97998046875,6529.080078125,5066120000
2025-09-08,6495.14990234375,6508.669921875,6483.2900390625,6498.08984375,5211500000
2025-09-09,6512.60986328125,6518.22998046875,6483.080078125,6503.330078125,4798350000
2025-09-10,6532.0400390625,6555.97021484375,6516.33984375,6550.2900390625,5253010000
2025-09-11,6587.47021484375,6592.89013671875,6545.7998046875,6554.41015625,5426460000
2025-09-12,6584.2900390625,6600.2099609375,6579.490234375,6590.66015625,4641640000
2025-09-15,6615.27978515625,6619.6201171875,6602.06982421875,6603.490234375,5045020000
2025-09-16,6606.759765625,6626.990234375,6600.10986328125,6624.1298828125,5359510000
2025-09-17,6600.35009765625,6624.39013671875,6551.14990234375,6604.8701171875,5805340000
2025-09-18,6631.9599609375,6656.7998046875,6611.89013671875,6626.85009765625,5292400000
2025-09-19,6664.35986328125,6671.81982421875,6630.31005859375,6647.10986328125,9125960000
2025-09-22,6693.75,6698.8798828125,6648.06982421875,6654.27978515625,5642620000
2025-09-23,6656.919921875,6699.52001953125,6645.580078125,6692.43994140625,5633620000
2025-09-24,6637.97021484375,6672.66015625,6621.759765625,6669.7900390625,5459180000
2025-09-25,6604.72021484375,6619.0,6569.22021484375,6608.18994140625,5874670000
2025-09-26,6643.7001953125,6648.97021484375,6604.43017578125,6615.3798828125,5103110000
2025-09-29,6661.2099609375,6677.31005859375,6644.490234375,6661.580078125,5358760000
2025-09-30,6688.4599609375,6691.25,6641.0,6656.18994140625,6057210000
2025-10-01,6711.2001953125,6718.47998046875,6656.2001953125,6664.919921875,6037950000
2025-10-02,6715.35009765625,6731.93994140625,6693.22998046875,6731.31005859375,5416130000
2025-10-03,6715.7900390625,6750.8701171875,6705.669921875,6722.14013671875,5713110000
2025-10-06,6740.27978515625,6749.52001953125,6717.77978515625,6733.85986328125,5604460000
2025-10-07,6714.58984375,6754.490234375,6699.9599609375,6746.14013671875,5546150000
2025-10-08,6753.72021484375,6755.64013671875,6718.08984375,6723.8701171875,5383130000
2025-10-09,6735.10986328125,6764.580078125,6716.169921875,6760.5,5385020000
2025-10-10,6552.509765625,6762.39990234375,6550.77978515625,6740.490234375,6596610000
2025-10-13,6654.72021484375,6668.68017578125,6620.7099609375,6622.52978515625,5303960000
2025-10-14,6644.31005859375,6680.7001953125,6555.06982421875,6602.490234375,5666920000
